sample,T,score,seq_recovery,pLDDT,type
T=0.3_28_wm,0.3,0.7995,0.5749,86.88041832669323,wm
T=0.3_29_wm,0.3,0.7949,0.5459,86.66275314361351,wm
T=0.3_30_wm,0.3,0.8071,0.5362,86.10210771276596,wm
T=0.3_31_wm,0.3,0.7869,0.5314,87.86962862930451,wm
T=0.3_32_wm,0.3,0.7765,0.5507,86.61242383209208,wm
T=0.3_33_wm,0.3,0.7937,0.5652,85.25311962987442,wm
T=0.3_34_wm,0.3,0.7576,0.5942,85.16658653846153,wm
T=0.3_35_wm,0.3,0.7702,0.5749,87.71202300405953,wm
T=0.3_36_wm,0.3,0.7881,0.57,87.88584398117015,wm
T=0.3_37_wm,0.3,0.7856,0.5894,87.22490553745926,wm
T=0.3_38_wm,0.3,0.7584,0.5652,87.35741065407956,wm
T=0.3_39_wm,0.3,0.7824,0.5556,86.02937542430415,wm
T=0.3_40_wm,0.3,0.7902,0.5652,88.07472498343274,wm
T=0.3_41_wm,0.3,0.7728,0.5459,84.83002673796791,wm
T=0.3_42_wm,0.3,0.7715,0.57,85.50712440516655,wm
T=0.3_43_wm,0.3,0.7608,0.5411,87.94702127659575,wm
T=0.3_44_wm,0.3,0.7952,0.5072,85.52491216216215,wm
T=0.3_45_wm,0.3,0.7668,0.5459,88.63535153583618,wm
T=0.3_46_wm,0.3,0.7833,0.5362,84.03352862849535,wm
T=0.3_47_wm,0.3,0.7663,0.5411,86.25108917631042,wm
T=0.3_48_wm,0.3,0.7821,0.5362,85.77706550802138,wm
