sample,T,score,seq_recovery,pLDDT,type
T=0.1_29_wm,0.1,0.7694,0.4984,82.33816912972085,wm
T=0.1_30_wm,0.1,0.7668,0.4888,81.93048133795635,wm
T=0.1_31_wm,0.1,0.7792,0.492,82.59160943318162,wm
T=0.1_32_wm,0.1,0.7741,0.4968,81.0209057301294,wm
T=0.1_33_wm,0.1,0.7569,0.4968,83.19537005529563,wm
T=0.1_34_wm,0.1,0.774,0.4936,82.2081525773196,wm
T=0.1_35_wm,0.1,0.7612,0.5016,81.88668792429542,wm
T=0.1_36_wm,0.1,0.7856,0.4936,82.81545990317828,wm
T=0.1_37_wm,0.1,0.7522,0.492,82.58659922338033,wm
T=0.1_38_wm,0.1,0.7749,0.508,82.71417789757412,wm
T=0.1_39_wm,0.1,0.7609,0.4888,81.03541564291564,wm
T=0.1_40_wm,0.1,0.7881,0.4856,83.27036424534226,wm
T=0.1_41_wm,0.1,0.768,0.5096,81.37021302998966,wm
T=0.1_42_wm,0.1,0.7691,0.5016,81.86236514522821,wm
T=0.1_43_wm,0.1,0.7777,0.484,83.40682180293501,wm
T=0.1_44_wm,0.1,0.7778,0.5,82.33421733771569,wm
T=0.1_45_wm,0.1,0.7607,0.5032,81.60657260556127,wm
T=0.1_46_wm,0.1,0.7689,0.4792,81.66692998571138,wm
T=0.1_47_wm,0.1,0.7752,0.492,82.14506945884304,wm
T=0.1_48_wm,0.1,0.7813,0.4856,82.04145760624101,wm
T=0.1_49_wm,0.1,0.7702,0.4984,82.010614071607,wm
T=0.1_50_wm,0.1,0.7582,0.4968,82.93785714285714,wm
T=0.5_1_original,0.5,0.9813,0.476,80.21589084065245,original
T=0.5_2_original,0.5,1.0349,0.4583,82.26614800759013,original
T=0.5_3_original,0.5,0.9843,0.4551,79.80044608879493,original
T=0.5_4_original,0.5,0.9854,0.4615,80.46384875369667,original
T=0.5_5_original,0.5,0.9493,0.5096,82.15685557200254,original
T=0.5_6_original,0.5,0.9816,0.4455,77.91662546353524,original
T=0.5_7_original,0.5,1.0,0.4471,81.39576915049051,original
T=0.5_8_original,0.5,0.996,0.484,82.11320906587586,original
T=0.5_9_original,0.5,1.0306,0.4663,80.85245008319468,original
T=0.5_10_original,0.5,0.9938,0.4631,81.74813748160605,original
T=0.5_11_original,0.5,0.972,0.4599,81.25741174012953,original
T=0.5_12_original,0.5,1.0059,0.4439,81.05161865284974,original
T=0.5_13_original,0.5,0.956,0.4551,79.76405376799323,original
T=0.5_14_original,0.5,1.019,0.4471,78.65980556136317,original
T=0.5_15_original,0.5,0.956,0.4744,81.88906729131176,original
T=0.5_16_original,0.5,0.9957,0.4728,80.51676570458405,original
T=0.5_17_original,0.5,0.967,0.476,80.37354614412136,original
T=0.5_18_original,0.5,0.9543,0.4519,81.88800504519655,original
T=0.5_19_original,0.5,1.005,0.4696,81.22567669172933,original
T=0.5_20_original,0.5,0.9757,0.476,79.52739891621508,original
T=0.5_21_original,0.5,0.9846,0.4776,81.75764523464957,original
T=0.5_22_original,0.5,1.0451,0.4247,80.49447946909996,original
T=0.5_23_original,0.5,1.0136,0.4583,80.73774683018084,original
T=0.5_24_original,0.5,1.0013,0.4888,80.56151813153043,original
T=0.5_25_original,0.5,1.0566,0.4567,81.9569095060191,original
T=0.5_26_original,0.5,1.0308,0.4647,81.33692114620371,original
T=0.5_27_original,0.5,0.968,0.4663,80.13175317907026,original
T=0.5_28_original,0.5,0.993,0.4744,80.01886612869853,original
T=0.5_29_original,0.5,0.9626,0.4663,80.19603567681007,original
T=0.5_30_original,0.5,1.0618,0.4407,79.32870290302657,original
T=0.5_31_original,0.5,0.9965,0.4327,81.30252533783784,original
T=0.5_32_original,0.5,1.0218,0.4407,88.37692566148678,original
T=0.5_33_original,0.5,0.9544,0.4615,82.5841580173692,original
T=0.5_34_original,0.5,0.9924,0.4503,79.31172350041084,original
T=0.5_35_original,0.5,1.0003,0.476,80.37904289034438,original
T=0.5_36_original,0.5,0.9944,0.4551,81.25669119192767,original
T=0.5_37_original,0.5,0.988,0.4503,78.3299771119434,original
T=0.5_38_original,0.5,1.0277,0.4439,81.00666246321984,original
T=0.5_39_original,0.5,1.0147,0.476,81.55579144162857,original
T=0.5_40_original,0.5,1.0323,0.4599,81.17641722408027,original
T=0.5_41_original,0.5,1.0036,0.4712,82.50012366380213,original
T=0.5_42_original,0.5,0.9839,0.4856,80.25385449239107,original
T=0.5_43_original,0.5,1.0058,0.4696,82.54203560209423,original
T=0.5_44_original,0.5,0.9903,0.4599,81.7536051861146,original
T=0.5_45_original,0.5,1.0307,0.4503,81.13938373570522,original
T=0.5_46_original,0.5,0.9717,0.4471,81.08231639580333,original
T=0.5_47_original,0.5,0.9863,0.4631,80.06236218822049,original
T=0.5_48_original,0.5,0.9831,0.4551,79.20362162162162,original
T=0.5_49_original,0.5,0.9335,0.4567,82.34953454085931,original
T=0.5_50_original,0.5,0.9953,0.4375,79.66825306294888,original
T=0.5_1_wm,0.5,0.9613,0.492,79.46599704579025,wm
T=0.5_2_wm,0.5,1.0225,0.4583,82.54768082422204,wm
T=0.5_3_wm,0.5,1.0026,0.4599,81.10717627401839,wm
T=0.5_4_wm,0.5,0.9965,0.4455,79.32231247321046,wm
T=0.5_5_wm,0.5,0.9544,0.4888,82.1935796178344,wm
T=0.5_6_wm,0.5,1.0133,0.4407,79.43640164778579,wm
T=0.5_7_wm,0.5,0.9577,0.4744,80.84356634575136,wm
T=0.5_8_wm,0.5,0.9914,0.476,81.27000000000001,wm
T=0.5_9_wm,0.5,0.9811,0.4679,82.27825655856229,wm
T=0.5_10_wm,0.5,0.9817,0.4647,81.03245760937827,wm
T=0.5_11_wm,0.5,0.9837,0.4647,81.70363126169197,wm
T=0.5_12_wm,0.5,1.0078,0.4503,82.80101789019123,wm
T=0.5_13_wm,0.5,0.978,0.4519,80.96147606946208,wm
T=0.5_14_wm,0.5,0.9611,0.4567,81.49728922091782,wm
T=0.5_15_wm,0.5,0.9417,0.4968,80.82881866383882,wm
T=0.5_16_wm,0.5,1.0009,0.4744,82.95018541930045,wm
T=0.5_17_wm,0.5,0.979,0.484,80.92040837696335,wm
T=0.5_18_wm,0.5,0.9884,0.4615,81.03588210614642,wm
T=0.5_19_wm,0.5,1.0505,0.4535,79.77331602990033,wm
T=0.5_20_wm,0.5,0.9589,0.492,82.16459218351743,wm
T=0.5_21_wm,0.5,0.9994,0.4599,81.46995815024063,wm
T=0.5_22_wm,0.5,1.0214,0.4359,80.60160132752542,wm
T=0.5_23_wm,0.5,0.992,0.4583,80.55112523442384,wm
T=0.5_24_wm,0.5,1.0104,0.4776,81.81774571309076,wm
T=0.5_25_wm,0.5,1.0394,0.4567,81.74713842333954,wm
T=0.5_26_wm,0.5,1.0316,0.4519,81.32294019933555,wm
T=0.5_27_wm,0.5,1.0163,0.4888,79.3591507870754,wm
T=0.5_28_wm,0.5,1.0517,0.4712,80.38059890341627,wm
T=0.5_29_wm,0.5,1.0216,0.4487,80.17722989949749,wm
T=0.5_30_wm,0.5,1.0519,0.4471,79.1409612244898,wm
T=0.5_31_wm,0.5,0.9879,0.4519,80.62306545153272,wm
T=0.5_32_wm,0.5,0.993,0.4407,89.03814095800801,wm
T=0.5_33_wm,0.5,0.9828,0.4712,81.43467293540475,wm
T=0.5_34_wm,0.5,1.0043,0.4519,80.57479656040269,wm
T=0.5_35_wm,0.5,0.9994,0.4551,80.0506834757241,wm
T=0.5_36_wm,0.5,0.9904,0.4487,81.36632331606218,wm
T=0.5_37_wm,0.5,0.964,0.4455,80.81919542619542,wm
T=0.5_38_wm,0.5,1.0039,0.4663,80.0743344495605,wm
T=0.5_39_wm,0.5,1.0142,0.4647,80.81384725928967,wm
T=0.5_40_wm,0.5,1.0068,0.4583,81.64768136850785,wm
T=0.5_41_wm,0.5,0.9557,0.5,81.96307660020986,wm
T=0.5_42_wm,0.5,1.0131,0.4776,79.89491049125729,wm
T=0.5_43_wm,0.5,1.0417,0.4728,80.06314780457637,wm
T=0.5_44_wm,0.5,1.0172,0.4583,81.49263640238705,wm
T=0.5_45_wm,0.5,1.0298,0.4471,81.10140402347025,wm
T=0.5_46_wm,0.5,1.016,0.4503,80.63120908901396,wm
T=0.5_47_wm,0.5,0.9716,0.4551,78.81920461570164,wm
T=0.5_48_wm,0.5,1.0236,0.4519,81.07843169968717,wm
T=0.5_49_wm,0.5,1.0337,0.4455,81.78142351716961,wm
